type,dp(Z),dp(V),zeta
à-la-fois,0.000805152979066,0.00133422281521,-0.000529069836144
a-no-dins,0.000402576489533,0,0.000402576489533
à-peu-près,0.000402576489533,0,0.000402576489533
à-présent,0.000402576489533,0,0.000402576489533
à-propos,0.000402576489533,0,0.000402576489533
a-t-i,0.000805152979066,0,0.000805152979066
a-vec,0.000402576489533,0,0.000402576489533
a-vec-que,0.000402576489533,0,0.000402576489533
à+lequel,0.010064412238325,0.004669779853236,0.00539463238509
à+lesquelles,0.002012882447665,0,0.002012882447665
à+lesquels,0.002818035426731,0.001000667111408,0.001817368315324
aade,0,0.000333555703803,-0.000333555703803
aaron,0.000402576489533,0.00133422281521,-0.000931646325677
aatir,0,0.000667111407605,-0.000667111407605
abaisse,0,0.002334889926618,-0.002334889926618
abaissée,0,0.000333555703803,-0.000333555703803
abaissement,0.004428341384863,0.019346230820547,-0.014917889435684
abaisser,0.021739130434783,0.085056704469647,-0.063317574034864
abandon,0.007246376811594,0.005003335557038,0.002243041254556
abandonné,0.006038647342995,0.013008672448299,-0.006970025105304
abandonne-t-elle,0,0.000333555703803,-0.000333555703803
abandonne-t-il,0,0.001000667111408,-0.001000667111408
abandonnée,0,0.000667111407605,-0.000667111407605
abandonnement,0.000805152979066,0.000667111407605,0.000138041571461
abandonner,0.130837359098229,0.33155436957972,-0.200717010481491
abandonnerait-il,0,0.000333555703803,-0.000333555703803
abandonnés,0,0.000667111407605,-0.000667111407605
abantage,0.000402576489533,0,0.000402576489533
abasourdir,0.000402576489533,0,0.000402576489533
abat,0,0.001000667111408,-0.001000667111408
abat|abats,0.000402576489533,0,0.000402576489533
abattant,0,0.000333555703803,-0.000333555703803
abattement,0.002012882447665,0.001667778519013,0.000345103928652
abatteur,0.000402576489533,0,0.000402576489533
abattre,0.030193236714976,0.127751834556371,-0.097558597841395
abattu,0.000402576489533,0.003669112741828,-0.003266536252295
abbé,0.009259259259259,0,0.009259259259259
abbés,0.003220611916264,0,0.003220611916264
abc,0.000402576489533,0,0.000402576489533
abcès,0.001207729468599,0,0.001207729468599
abdenede,0,0.000667111407605,-0.000667111407605
abderame,0,0.000333555703803,-0.000333555703803
abdiquer,0,0.002334889926618,-0.002334889926618
abdul,0,0.004336224149433,-0.004336224149433
abeille,0.002012882447665,0,0.002012882447665
abencerrages,0,0.000333555703803,-0.000333555703803
abendax,0,0.00266844563042,-0.00266844563042
abêtir,0.000402576489533,0,0.000402576489533
abhorré,0,0.000333555703803,-0.000333555703803
abhorrer,0.012882447665056,0.066044029352902,-0.053161581687846
